"","Survey","Transect","Team","Species","ID","Distance","Detected","Beaufort","Glare","Subjective","Swell","TOD","Group.size","Group","W.R","W.L","y10","y01","y11"
"107","NES",3037073,"upper","STDO",9536,1613.2,1,3.288,3,2,0.6,12.568,86,2,5000,0,1,0,0
"110","NES",3037788,"upper","STDO",9607,1724.99,1,4.214,3,1.905,0.8,10.306,47,2,5000,0,1,0,0
"111","NES",3037788,"upper","STDO",9609,1560.422,0,4.214,3,1.905,0.9,10.46,40,2,5000,0,0,1,0
"113","NES",3035179,"upper","STDO",9672,1252.587,1,1.7,1,3,0.5,20.173,6,2,5000,0,1,0,0
"115","NES",3035914,"upper","STDO",9722,3056.292,1,4,1,2,0.6,14.548,28,2,5000,0,1,0,0
"118","NES",3034469,"upper","STDO",9749,827.6835,1,3.164,0,2.053,1.2,10.597,8,2,5000,0,1,0,0
"119","NES",3038029,"upper","STDO",9815,2405.801,1,4,1,2,0.3,15.729,15,2,5000,0,1,0,0
"122","NES",3039461,"upper","STDO",9876,897.6659,1,4.289,2.374,2.374,0.3,15.189,3,2,5000,0,1,0,0
"124","NES",3039461,"upper","STDO",9879,864.9215,0,4.289,2.374,2.374,0.2,10.066,36,2,5000,0,0,1,0
"126","NES",3039461,"upper","STDO",9880,779.0646,1,4.289,2.374,2.374,0.2,10.099,23,2,5000,0,1,0,0
"128","NES",3039220,"upper","STDO",9886,719.5168,0,3.427,3,3,0.2,10.796,1,2,5000,0,0,1,0
"130","NES",3039217,"upper","STDO",9892,1621.352,1,3.36,3,2.66,0.2,12.201,5,2,5000,0,0,0,1
"132","NES",3040656,"upper","STDO",9940,191.7832,1,3,3,2,1.5,12.823,12,2,5000,0,1,0,0
"134","NES",3038271,"upper","STDO",9953,1984.815,1,3.855,1,2,1.3,17.369,42,2,5000,0,1,0,0
"135","NES",3036361,"upper","STDO",10017,310.7376,1,2.78,3,3,0.6,13.332,13,2,5000,0,0,0,1
"138","NES",3036601,"upper","STDO",10025,3674.966,1,2.307,2.053,3,0.6,13.892,48,2,5000,0,0,0,1
"139","NES",3036601,"upper","STDO",10026,395.7736,1,2.307,2.053,3,0.6,14.862,9,2,5000,0,1,0,0
"141","NES",3036601,"upper","STDO",10027,223.8372,1,2.307,2.053,3,0.6,14.909,32,2,5000,0,1,0,0
"143","NES",3036601,"upper","STDO",10028,1086.821,1,2.307,2.053,3,0.6,14.961,17,2,5000,0,0,0,1
"146","NES",3038027,"upper","STDO",10079,2888.502,1,3,0,2,1.3,12.92,45,2,5000,0,0,0,1
"147","NES",3037792,"upper","STDO",10120,351.5107,1,4,0.445,2,0.5,10.272,50,2,5000,0,1,0,0
"150","NES",3038275,"upper","STDO",10126,3004.222,1,4.124,2.809,2,0.5,12.357,15,2,5000,0,1,0,0
"152","NES",3038516,"upper","STDO",10128,765.4399,1,4.5,3,2,0.5,13.57,28,2,5000,0,0,0,1
"154","NES",3038517,"upper","STDO",10130,0,1,4.414,3,2,0.5,13.997,17,2,5000,0,1,0,0
